ID,name,name2,typ,role,role2,Verwandtschaft,place,state,polit,beruf,spezifik,sex,institution,institution2,family,,,,,,,,,
A1139,Ekarius Salzburger,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A114,Wilhelm Löffelholz,,Person,,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1454-1460,,,,,,,,
A1140,Elbel Cristel,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1141,Ellen Puttnerin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1142,Elsbeth Stromerin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1143,Else Laugin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1144,Else Weisslin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1145,Endres Armbauer,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1146,Endres Haller,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1147,Endres Sporer,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1148,Endris Geuder,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1149,Endris Rudolf,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A115,Ulrich von Augsburg,,Person,Bürger zu N.,Nürnberger Söldnerführer,,Nürnberg,Nürnberger Bürger,,Militär,,male,,,,, ,,,,,,,
A1150,Engelhard Walker,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1151,Erhard Aberdar,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1152,Erhard d. J.,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1153,Erhard Gyner,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1154,Erhard Haller,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1155,Erhard Hofmann,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1156,Erhard Lochner,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1157,F. Rull,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1158,Familie Arzt,meist Hans und Ulrich gemeint,Person,Bürger zu Augsburg bzw. Bürger zu Nürnberg ,,,,Nürnberger Bürger/fremder Bürger,,,,male,,,,,,,,,,,,
